Season,TeamName,eFG_Pct,RankeFG_Pct,TO_Pct,RankTO_Pct,OR_Pct,RankOR_Pct,FT_Rate,RankFT_Rate
2011,"Air Force",49.0467,162,20.5537,140,34.679,269,32.4108,65
2011,Akron,46.6923,63,20.6142,135,32.6931,201,38.6667,190
2011,Alabama,43.6641,6,23.6845,22,33.3207,228,36.285,136
2011,"Alabama A&M",46.7532,67,24.0832,18,33.6459,240,42.2078,258
2011,"Alabama St.",46.6809,62,23.5488,26,33.3483,229,52.8015,338
2011,Albany,47.7612,107,16.9839,320,33.2475,226,27.8054,18
2011,"Alcorn St.",49.1639,172,19.8393,189,38.6708,340,42.1405,256
2011,American,47.4907,95,16.4942,329,25.9039,4,37.4226,165
2011,"Appalachian St.",52.3697,306,17.8057,296,31.7599,150,30.6872,43
2011,Arizona,48.5816,137,18.5707,262,29.1988,56,36.5957,146
2011,"Arizona St.",49.0617,163,20.0368,171,32.966,208,39.2857,208
2011,Arkansas,45.615,26,20.7991,121,34.2997,259,31.4948,52
2011,"Arkansas Little Rock",50.4611,238,20.7734,122,31.6832,147,45.5908,303
2011,"Arkansas Pine Bluff",52.3794,307,22.435,49,32.3457,179,55.3934,341
2011,"Arkansas St.",48.6734,144,19.8416,188,30.2094,84,40.1769,231
2011,Army,51.5448,284,20.2735,158,31.3835,131,41.5511,250
2011,Auburn,49.8044,208,22.7786,42,34.2985,257,45.502,301
2011,"Austin Peay",48.7115,146,23.3807,29,34.5895,267,36.8067,154
2011,"Ball St.",48.5133,134,21.3641,85,33.5291,237,31.6141,53
2011,Baylor,47.8315,110,21.674,72,30.5825,93,35.254,113
2011,Belmont,46.0862,42,27.525,2,32.4503,187,46.228,308
2011,"Bethune Cookman",53.0426,320,21.2056,99,31.8232,154,45.639,304
2011,Binghamton,51.4817,282,17.879,294,37.6349,333,29.2853,30
2011,"Boise St.",52.2106,305,24.9425,7,28.6053,39,43.6882,277
2011,"Boston College",50.7379,248,16.3145,330,33.0097,212,25.8524,4
2011,"Boston University",46.0224,37,18.1641,282,33.5327,238,30.1887,39
2011,"Bowling Green",50.9462,257,22.8399,41,33.8015,245,38.5571,189
2011,Bradley,49.7289,205,19.4367,212,30.1905,82,38.253,181
2011,Brown,50.8918,254,15.5967,340,28.3136,27,30.1968,40
2011,Bryant,53.5266,329,18.3561,273,34.9798,279,35.4453,119
2011,Bucknell,45.3655,23,17.9595,289,29.056,53,35.0106,108
2011,Buffalo,47.4008,89,22.4742,48,32.9402,206,37.8424,172
2011,Butler,48.0987,118,18.8455,252,27.94,19,38.9517,197
2011,BYU,46.6572,61,20.2888,157,28.5714,36,33.5704,84
2011,"Cal Poly",45.063,19,21.8526,70,31.6562,145,42.367,261
2011,"Cal St. Bakersfield",52.9907,318,19.6646,198,35.4178,296,39.5639,217
2011,"Cal St. Fullerton",52.401,308,18.9946,246,32.3847,181,44.0576,284
2011,"Cal St. Northridge",50,220,20.6895,127,32.7264,202,56.2058,342
2011,California,50.4169,235,18.1962,281,28.6452,42,33.7676,87
2011,Campbell,49.4688,189,22.2398,56,33.4011,234,51.328,337
2011,Canisius,46.5794,58,20.5141,144,35.5196,300,39.3813,211
2011,Centenary,55.1498,340,20.7099,126,39.8064,343,46.2547,309
2011,"Central Arkansas",56.1821,345,22.2255,59,36.6445,326,40.4212,236
2011,"Central Connecticut",47.0588,76,23.2086,34,34.6614,268,33.3524,82
2011,"Central Michigan",50.419,237,22.6183,45,30.5708,91,52.8631,339
2011,"Charleston Southern",50.8783,253,21.2186,97,33.8205,246,36.89,155
2011,Charlotte,48.9542,157,17.1742,316,31.0798,112,31.6563,55
2011,Chattanooga,53.5308,330,17.9332,292,27.4074,13,33.0866,76
2011,"Chicago St.",55.4274,342,17.4489,310,35.2829,290,47.3003,320
2011,Cincinnati,45.838,31,22.2563,55,31.0209,110,35.3631,118
2011,Clemson,45.558,25,23.0319,37,31.6467,144,34.814,105
