,year,arena,location,team,opponent,team_points,opponent_points
0,2014,Charles Koch Arena,Home,WICHITA-STATE,Emporia State,93,50
1,2014,,Home,WICHITA-STATE,western-kentucky,66,49
2,2014,Charles Koch Arena,Home,WICHITA-STATE,william-mary,79,62
3,2014,Charles Koch Arena,Home,WICHITA-STATE,tennessee-state,85,71
4,2014,Donald W. Reynolds Center,Away,WICHITA-STATE,tulsa,77,54
5,2014,Sprint Center,Neutral,WICHITA-STATE,depaul,90,72
6,2014,Sprint Center,Neutral,WICHITA-STATE,brigham-young,75,62
7,2014,Chaifetz Arena,Away,WICHITA-STATE,saint-louis,70,65
8,2014,Charles Koch Arena,Home,WICHITA-STATE,oral-roberts,71,58
9,2014,Charles Koch Arena,Home,WICHITA-STATE,tennessee,70,61
10,2014,Coleman Coliseum,Away,WICHITA-STATE,alabama,72,67
11,2014,Charles Koch Arena,Home,WICHITA-STATE,north-carolina-central,77,66
12,2014,Charles Koch Arena,Home,WICHITA-STATE,davidson,81,70
13,2014,The SIU Arena,Away,WICHITA-STATE,southern-illinois,82,67
14,2014,Charles Koch Arena,Home,WICHITA-STATE,northern-iowa,67,53
15,2014,Charles Koch Arena,Home,WICHITA-STATE,illinois-state,66,47
16,2014,JQH Arena,Away,WICHITA-STATE,missouri-state,72,69
17,2014,Charles Koch Arena,Home,WICHITA-STATE,bradley,72,50
18,2014,Charles Koch Arena,Home,WICHITA-STATE,indiana-state,68,48
19,2014,Redbird Arena,Away,WICHITA-STATE,illinois-state,70,55
20,2014,Knapp Center,Away,WICHITA-STATE,drake,78,61
21,2014,Charles Koch Arena,Home,WICHITA-STATE,loyola-il,57,45
22,2014,Charles Koch Arena,Home,WICHITA-STATE,evansville,81,67
23,2014,Hulman Center,Away,WICHITA-STATE,indiana-state,65,58
24,2014,McLeod Center,Away,WICHITA-STATE,northern-iowa,82,73
25,2014,Charles Koch Arena,Home,WICHITA-STATE,southern-illinois,78,67
26,2014,Ford Center,Away,WICHITA-STATE,evansville,84,68
27,2014,Joseph J. Gentile Center,Away,WICHITA-STATE,loyola-il,88,74
28,2014,Charles Koch Arena,Home,WICHITA-STATE,drake,83,54
29,2014,Renaissance Coliseum,Away,WICHITA-STATE,bradley,69,49
30,2014,Charles Koch Arena,Home,WICHITA-STATE,missouri-state,68,45
31,2014,Scottrade Center,Neutral,WICHITA-STATE,evansville,80,58
32,2014,Scottrade Center,Neutral,WICHITA-STATE,missouri-state,67,42
33,2014,Scottrade Center,Neutral,WICHITA-STATE,indiana-state,83,69
34,2014,Scottrade Center,Neutral,WICHITA-STATE,cal-poly,64,37
35,2014,,Neutral,WICHITA-STATE,kentucky,76,78
