Season,TeamName,Off_1,RankOff_1,Off_2,RankOff_2,Off_3,RankOff_3,Def_1,RankDef_1,Def_2,RankDef_2,Def_3,RankDef_3
2013,"Air Force",16.9261,323,46.3035,318,36.7704,12,19.3298,235,50.2186,239,30.4517,68
2013,Akron,18.838,258,52.6408,156,28.5211,147,21.9029,94,52.8246,149,25.2725,252
2013,Alabama,20.0183,201,54.2048,106,25.777,225,19.9221,210,53.775,117,26.303,215
2013,"Alabama A&M",20.9406,142,55.5431,75,23.5162,279,19.2629,241,58.1818,15,22.5553,317
2013,"Alabama St.",17.4711,311,56.873,52,25.6558,229,20.4493,178,50.5273,231,29.0234,112
2013,Albany,22.9231,51,48.6895,268,28.3874,150,15.8738,334,54.1686,101,29.9576,86
2013,"Alcorn St.",21.9873,85,53.5941,122,24.4186,256,25.9312,10,49.5992,260,24.4696,280
2013,American,18.7896,260,50.6052,214,30.6052,85,15.5532,338,48.7474,287,35.6994,5
2013,"Appalachian St.",20.9834,140,51.704,180,27.3126,186,19.2344,242,57.3724,25,23.3932,307
2013,Arizona,21.0506,136,47.5486,291,31.4008,64,20.0809,203,51.4825,201,28.4367,132
2013,"Arizona St.",18.2325,283,51.9108,173,29.8567,107,17.5201,301,53.6606,123,28.8193,118
2013,Arkansas,19.5929,218,55.9796,67,24.4275,255,22.9687,50,49.3872,269,27.6441,167
2013,"Arkansas Little Rock",23.6739,27,53.3399,129,22.9862,292,23.4063,40,48.3349,297,28.2588,137
2013,"Arkansas Pine Bluff",18.883,255,55.7447,72,25.3723,234,21.5215,112,46.046,333,32.4324,25
2013,"Arkansas St.",24.9147,10,47.5865,289,27.4988,175,20.7169,161,52.7148,155,26.5683,207
2013,Army,20.8353,151,45.4756,327,33.6891,38,20.5426,172,48.3527,295,31.1047,51
2013,Auburn,21.1668,126,52.3626,163,26.4706,205,22.4898,69,46.1608,331,31.3494,45
2013,"Austin Peay",19.3867,229,50.0495,233,30.5638,87,16.8514,316,55.8758,50,27.2727,183
2013,"Ball St.",24.0829,20,48.4848,277,27.4322,177,20.3629,182,50.9073,224,28.7298,121
2013,Baylor,19.7115,211,52.8846,145,27.4038,180,20.0993,200,55.0868,68,24.8139,272
2013,Belmont,17.5453,307,49.9367,238,32.5179,47,21.3861,120,48.3168,298,30.297,74
2013,"Bethune Cookman",21.0401,137,53.3397,130,25.6202,231,24.0091,28,52.7563,152,23.2346,310
2013,Binghamton,20.75,161,51.5,185,27.75,167,16.2069,328,48.1773,300,35.6158,7
2013,"Boise St.",19.5591,219,48.7805,266,31.6604,62,22.571,64,48.1315,303,29.2975,106
2013,"Boston College",21.7156,97,46.5914,314,31.693,61,16.5628,322,53.7845,116,29.6527,98
2013,"Boston University",15.5774,343,49.0418,258,35.3808,25,20.2584,187,54.1602,103,25.5814,240
2013,"Bowling Green",16.6046,329,59.9255,16,23.4699,280,19.6781,220,53.9979,108,26.324,214
2013,Bradley,18.3045,280,58.2876,36,23.4078,282,20.3673,181,48.8314,285,30.8013,60
2013,Brown,18.545,271,46.7501,311,34.7048,30,18.7995,261,49.2639,272,31.9366,31
2013,Bryant,19.7472,210,51.8745,175,28.3784,151,16.8174,317,49.8192,250,33.3635,18
2013,Bucknell,21.1504,129,58.0616,39,20.788,318,19.6447,221,53.7095,119,26.6458,204
2013,Buffalo,21.4184,115,50.7801,207,27.8014,166,21.699,101,52.5392,159,25.7618,236
2013,Butler,20.8507,150,50.3753,222,28.774,138,21.4286,119,53.0997,139,25.4717,244
2013,BYU,20.7681,159,56.525,60,22.7069,297,20.9016,145,50.3279,237,28.7705,120
