Season,TeamName,eFG_Pct,RankeFG_Pct,TO_Pct,RankTO_Pct,OR_Pct,RankOR_Pct,FT_Rate,RankFT_Rate
2010,"Air Force",50.0378,115,22.4911,285,23.3696,343,34.4175,259
2010,Akron,49.261,146,19.9325,147,37.18,32,36.5953,199
2010,Alabama,48.9688,157,19.5813,124,34.8081,94,34.2809,263
2010,"Alabama A&M",40.3802,347,22.1019,264,33.102,158,48.1369,12
2010,"Alabama St.",45.1936,306,23.701,320,35.4918,69,45.3271,32
2010,Albany,46.4862,268,24.6717,335,35.9068,58,31.394,310
2010,"Alcorn St.",41.8462,343,27.4568,347,29.4406,280,42.2248,70
2010,American,48.192,194,22.438,281,30.2985,260,35.5985,227
2010,"Appalachian St.",54.0608,17,21.7927,249,35.5356,66,40.2762,105
2010,Arizona,50.0892,112,20.1599,157,29.2994,284,44.2594,44
2010,"Arizona St.",53.3718,28,19.295,111,28.4855,302,37.9708,156
2010,Arkansas,50,119,18.9313,99,30.2857,261,42.0656,72
2010,"Arkansas Little Rock",47.7586,215,20.1352,155,28.6933,298,46,22
2010,"Arkansas Pine Bluff",44.7413,318,24.4589,331,35.6718,61,48.4252,9
2010,"Arkansas St.",48.7406,170,20.3592,169,32.2948,192,40.3023,104
2010,Army,46.4812,269,22.8328,299,30.9015,225,30.6971,313
2010,Auburn,51.1401,75,19.3967,116,32.2552,193,36.6992,196
2010,"Austin Peay",50.1546,101,21.0342,203,31.7271,208,45.7638,25
2010,"Ball St.",44.9721,312,22.6332,289,31.7943,204,46.648,19
2010,Baylor,54.3842,15,20.2193,160,38.1608,22,36.0872,214
2010,Belmont,52.0895,48,23.5793,319,34.6353,100,43.3785,57
2010,"Bethune Cookman",45.3982,300,20.9035,194,33.631,140,36.8799,190
2010,Binghamton,47.2295,244,22.3428,278,34.3147,115,33.116,290
2010,"Boise St.",50.7423,85,20.0395,150,33.5885,141,29.7985,323
2010,"Boston College",49.1321,152,19.5741,123,37.8392,26,30.5151,314
2010,"Boston University",48.3522,183,19.3987,117,29.8593,271,38.2194,144
2010,"Bowling Green",48.2816,188,22.0541,260,33.7222,136,35.6246,225
2010,Bradley,49.6648,131,18.4409,69,28.3383,305,37.7818,161
2010,Brown,50.1995,100,19.5692,122,22.2575,345,37.766,162
2010,Bryant,42.6061,338,25.7909,345,25.1316,335,26.9231,344
2010,Bucknell,46.7124,260,17.5221,35,30.8398,228,34.7056,252
2010,Buffalo,49.2801,144,20.083,153,34.0807,121,36.1728,211
2010,Butler,51.0204,80,18.7831,90,30.7692,232,46.8865,16
2010,BYU,54.8739,12,16.0655,9,30.8096,230,38.9428,127
2010,"Cal Poly",47.5141,227,19.6942,128,34.4196,112,38.3051,141
2010,"Cal St. Bakersfield",43.2845,332,21.8534,253,35.3468,78,43.4676,55
2010,"Cal St. Fullerton",49.9383,121,20.6863,183,30.8281,229,42.9012,63
2010,"Cal St. Northridge",46.3087,273,23.8657,322,36.4666,47,52.2931,2
2010,California,53.2544,29,17.628,41,34.676,99,35.355,235
