"Season","TeamName","eFGPct","RankeFGPct","TOPct","RankTOPct","ORPct","RankORPct","FTRate","RankFTRate"
2018,"Abilene Christian",50.4037267080745,193,20.3044412831906,288,27.2914521112255,221,31.4906832298137,233
2018,"Air Force",47.6336816226183,310,18.8446210066593,214,27.4038461538462,220,31.960663798402,220
2018,"Akron",51.4971751412429,147,19.8513457365773,275,27.449168207024,217,31.4124293785311,235
2018,"Alabama",51.873417721519,129,20.3185416594466,289,29.3398533007335,154,41.9240506329114,13
2018,"Alabama A&M",45.0471698113208,339,24.2341376018105,350,29.9642218246869,133,31.4268867924528,234
2018,"Alabama St.",46.5451577801959,328,19.9114918241,276,31.9286871961102,72,35.2013057671382,120
2018,"Albany",50.4818594104308,186,17.5154734049912,120,34.5821325648415,19,36.9614512471655,77
2018,"Alcorn St.",48.3674775928297,283,20.8587624056595,317,27.0769230769231,226,33.7387964148528,165
2018,"American",50.6191950464396,183,20.395187624615,292,23.8423645320197,309,30.4024767801858,266
2018,"Appalachian St.",49.8642042368278,207,18.7206094250896,198,29.3322062552832,156,36.8278109722977,78
2018,"Arizona",56.2905641537693,16,17.517858882775,121,33.2704995287465,44,36.9945082376435,75
2018,"Arizona St.",53.75,66,14.7274298380734,10,27.9255319148936,203,41.3020833333333,19
2018,"Arkansas",53.7753657385559,64,15.1191226146955,15,28.8414133114215,172,37.4233128834356,69
2018,"Arkansas Pine Bluff",49.5705850778315,221,20.6094722710332,302,23.3668341708543,316,36.5539452495974,83
2018,"Arkansas St.",49.3269770050477,234,18.6442872444356,187,30.2702702702703,123,33.2024677509815,180
2018,"Army",52.28297632469,112,18.7524792941374,202,27.0522388059701,231,24.4644870349493,344
2018,"Auburn",50.8087535680304,174,16.4298201235242,42,32.0977917981073,63,39.7716460513796,36
2018,"Austin Peay",49.946552645644,204,19.8402257217554,272,34.7676419965577,15,35.9166221272047,98
2018,"BYU",54.1469816272966,49,16.7839740119112,66,22.4907063197026,329,37.5853018372703,66
2018,"Ball St.",51.3813651137595,154,18.3657814136052,170,28.0465949820789,199,33.2069339111593,179
2018,"Baylor",51.781104801239,136,19.7556879918343,269,35.5311355311355,9,32.2147651006711,212
2018,"Belmont",58.8235294117647,3,18.1373795910242,155,25.1953125,286,27.9007015650297,318
2018,"Bethune Cookman",49.4711792702274,229,20.3420976719837,290,32.9391891891892,49,41.2480169222634,20
2018,"Binghamton",49.6638141809291,219,18.3420432421355,168,25.8536585365854,264,29.9511002444988,277
2018,"Boise St.",53.75,66,18.8824858184194,216,29.3560606060606,153,30.9782608695652,250
2018,"Boston College",52.1140142517815,120,17.7676606417107,134,29.4258373205742,143,30.6888361045131,257
2018,"Boston University",52.7660853878533,93,20.0846563413421,286,28.3283283283283,190,32.8322309079976,194
2018,"Bowling Green",47.2950819672131,318,17.5916806010491,125,29.708904109589,138,36.5573770491803,82
2018,"Bradley",48.9237929028505,259,20.0165621672779,280,31.3019390581717,88,37.7545084351367,61
2018,"Brown",48.454603992273,282,18.4431434097673,173,29.393627954779,149,40.3734707018674,32
2018,"Bryant",47.8734715576821,300,18.1671971095582,158,26.1525565800503,254,27.7511961722488,320
2018,"Bucknell",53.9024390243902,57,17.0047181283136,76,27.0382695507488,234,42.5365853658537,11
2018,"Buffalo",54.8059964726631,29,16.4726775300583,44,31.9359756097561,71,29.8500881834215,280
2018,"Butler",53.9907192575406,54,15.7336941486552,28,27.5979557069847,214,26.0788863109049,335
2018,"Cal Poly",46.5761511216057,327,17.3837680322052,106,24.6704331450094,295,26.6824085005903,332
2018,"Cal St. Bakersfield",46.5296495956873,329,20.6546135521804,305,30.6806282722513,112,34.7708894878706,133
2018,"Cal St. Fullerton",51.6487000634115,141,20.7028057749932,307,26.0042283298097,258,45.5928979074192,2
2018,"Cal St. Northridge",47.7374123645634,308,18.2752410212946,167,23.2678386763185,317,28.2982791586998,310
2018,"California",44.5085118066996,343,20.841765621348,314,34.8305084745763,13,38.1109280615047,56
2018,"Campbell",54.558910597987,36,17.2061208659474,93,20.7739307535642,340,34.0438129070456,156
2018,"Canisius",54.2224510813594,46,18.6610078888115,189,29.9465240641711,134,29.9176107106076,278
2018,"Central Arkansas",51.6953199617956,138,18.3497830196473,169,27.1867612293144,224,36.0553963705826,96
2018,"Central Connecticut",50.9770114942529,167,21.8435392998984,337,31.1348205625606,94,32.6436781609195,199
2018,"Central Michigan",50.9938837920489,166,17.0530242472689,80,31.0960067969414,95,33.7410805300714,164
2018,"Charleston Southern",48.9642184557439,257,19.4835541688882,256,30.2325581395349,126,31.2617702448211,240
2018,"Charlotte",48.3407785577537,285,20.6000507573366,301,26.2311557788945,251,38.8640714741544,45
2018,"Chattanooga",50.1188354129531,201,20.5785055860989,300,26.685393258427,242,34.5811051693405,136
2018,"Chicago St.",44.6039035591274,342,20.9117428358977,322,25.5129348795718,273,31.6303099885189,231
2018,"Cincinnati",51.1904761904762,159,17.0261961691059,79,38.5048231511254,2,36,97
2018,"Clemson",52.9173008625063,88,17.4033671732139,109,27.2410791993037,223,33.4855403348554,169
2018,"Cleveland St.",50.6329113924051,182,18.8657247935899,215,22.0600858369099,333,29.4303797468354,286
2018,"Coastal Carolina",48.9814814814815,256,22.0426797031951,342,34.1559723593287,26,38.7654320987654,46
2018,"Colgate",51.4488791689448,150,16.3766632548618,41,25.7013574660633,266,28.9775833788956,298
2018,"College of Charleston",52.734375,94,15.1435336069512,16,25.4562920268972,276,36.5513392857143,84
2018,"Colorado",50.5981511691136,185,20.040102422253,281,29.3744333635539,152,33.278955954323,177
2018,"Colorado St.",47.4825923942153,314,18.762249906468,204,30.6382978723404,113,33.7975361542582,159
2018,"Columbia",52.3957685127567,109,17.7896016822191,135,27.0440251572327,233,24.4555071561917,346
2018,"Connecticut",47.4617903930131,315,18.4673899345851,176,29.4220665499124,144,32.3689956331878,207
2018,"Coppin St.",43.2839912280702,348,20.488940628638,296,22.2857142857143,331,27.2478070175439,328
2018,"Cornell",52.5096525096525,106,18.4637872561402,175,24.4324324324324,300,35.1351351351351,124
2018,"Creighton",57.4102175012645,9,15.5589775833498,22,22.5140712945591,327,26.4542235710673,333
2018,"Dartmouth",51.3581129378127,155,20.0059339634637,279,23.9669421487603,306,32.8091493924232,195
2018,"Davidson",57.3906083244397,10,14.467875002153,7,22.6284584980237,324,24.5997865528282,343
2018,"Dayton",55.5356074207062,21,20.1948375168883,287,25.4506892895016,277,31.7773788150808,226
2018,"DePaul",47.8578892371996,302,19.3933927162025,250,32.9320722269991,50,29.362591431557,288
2018,"Delaware",50.2569960022844,197,15.7779541573466,29,26.0387811634349,256,34.3803540833809,146
2018,"Delaware St.",47.2826086956522,319,22.7165400207295,345,29.2352371732817,159,28.5024154589372,305
2018,"Denver",52.4007682458387,108,21.7626176879148,336,30.6941431670282,111,32.842509603073,193
2018,"Detroit",49.0909090909091,248,18.2159300312321,162,27.0484581497797,232,31.1229946524064,243
2018,"Drake",50.3914405010438,194,17.1913014586884,88,23.5547886108714,313,32.2546972860125,209
2018,"Drexel",49.5348837209302,225,17.3188789000529,100,30.7429547395389,106,31.7829457364341,225
2018,"Duke",55.9222027972028,19,17.5018904895298,119,38.7802971071149,1,34.5716783216783,137
2018,"Duquesne",49.7065101387407,217,17.5918058011621,126,33.0204778156997,47,35.3788687299893,114
2018,"East Carolina",48.2878699941962,287,20.6141189975129,303,27.8095238095238,207,28.670922809054,303
2018,"East Tennessee St.",53.8079470198675,63,19.7301741030203,268,30.7025986525505,110,33.112582781457,184
2018,"Eastern Illinois",47.6736972704715,309,20.404209982566,293,29.8651252408478,135,32.1960297766749,213
2018,"Eastern Kentucky",49.8471882640587,210,19.1006567401132,225,27.1084337349398,225,33.3740831295843,172
2018,"Eastern Michigan",51.4116318464145,152,18.71899367456,197,30.3893637226971,118,29.1360813099944,292
2018,"Eastern Washington",53.9703546850185,55,16.8093757995068,68,21.6417910447761,336,27.9512969825304,317
2018,"Elon",52.300785634119,110,16.6725218975712,60,21.6822429906542,335,24.0179573512907,350
2018,"Evansville",48.7345879299156,268,20.8715379525475,319,24.0601503759398,305,34.3932511356262,145
2018,"FIU",47.1600688468158,321,15.6381571033321,26,25.8289703315881,265,36.4888123924269,87
2018,"Fairfield",51.3937282229965,153,17.3534003493351,104,24.4081632653061,302,30.9109009457442,252
2018,"Fairleigh Dickinson",49.8263888888889,212,19.1990691360419,235,30.2415458937198,125,30.787037037037,256
2018,"Florida",50.7021791767555,179,14.2114052909828,6,28.8522012578616,171,32.590799031477,201
2018,"Florida A&M",47.2410203019261,320,19.5321493395585,259,27.603305785124,213,32.0666319625195,215
2018,"Florida Atlantic",43.8376168224299,346,18.2551421600233,165,28.5071942446043,185,28.9719626168224,299
2018,"Florida Gulf Coast",55.2686489306208,23,19.4905021038465,257,31.2559017941454,91,33.3854981742306,171
2018,"Florida St.",53.2,79,17.8277336591326,138,32.2528363047002,62,36.9882352941176,76
2018,"Fordham",47.9464285714286,298,18.4888037360795,177,18.8268684957427,350,26.9047619047619,331
2018,"Fort Wayne",52.9460811561979,86,15.6330206729199,25,25.5835667600373,271,31.6842690383546,229
2018,"Fresno St.",54.4610778443114,39,17.3509654486851,103,26.625386996904,243,38.4431137724551,51
2018,"Furman",54.9435787211177,28,16.5172657043065,50,26.8837209302326,238,28.1569048898442,312
2018,"Gardner Webb",49.1142333536958,246,20.0790238811163,285,25.249500998004,284,27.9780085522297,316
2018,"George Mason",49.0507952796306,250,18.1675367491865,159,27.8577476714649,204,31.7598768599282,227
2018,"George Washington",49.5432563138098,224,19.2467041162117,239,31.7028985507246,78,28.8554540569586,300
2018,"Georgetown",51.7867271695973,135,20.7081696668268,309,31.2619502868069,90,38.343732274532,52
2018,"Georgia",47.5342465753425,313,19.1933097605977,234,34.819897084048,14,40.1095890410959,34
2018,"Georgia Southern",49.1621621621622,244,16.1140877412078,38,30.2828618968386,122,38.2702702702703,55
2018,"Georgia St.",53.8644785600847,60,16.718076976518,62,25.6340579710145,269,30.8628904182107,254
