Team,Conf,HCA,HCA_Rank,PF,PF_Rank,PTS,PTS_Rank,NST,NST_Rank,Blk,Blk_Rank,Elevation,Elevation_Rank
Bryant,NEC,2.6,291,-0.7,326,4.8,253,-0.8,183,1.7,81,400,185
Florida A&M,MEAC,2.5,292,-1.4,280,3.4,304,-1.7,34,0.8,270,100,258
Vermont,AE,2.5,293,-1.4,276,4.2,276,-1.2,98,0.6,309,400,185
Delaware St.,MEAC,2.5,294,-1.1,299,5.3,217,-0.7,200,1.1,218,0,307
Lipscomb,ASun,2.5,295,-1.9,230,3.6,298,-0.3,273,0.6,306,600,137
High Point,BSth,2.5,296,-0.3,335,5.3,223,0.1,320,2,36,900,68
Northeastern,CAA,2.5,297,-1.5,272,2.8,324,-1.4,76,1,237,0,307
Maine,AE,2.5,298,-1.6,263,3.9,288,-0.5,223,0.9,266,100,258
UC Santa Barbara,BW,2.5,299,-1.1,302,5.5,208,0.4,335,1.5,118,100,258
Portland,WCC,2.5,300,-1.9,225,2.4,332,-1.1,125,0.6,304,200,232
Prairie View A&M,SWAC,2.5,301,-1.6,267,5.8,199,-0.1,303,0.3,334,300,210
Jacksonville,ASun,2.5,302,-1.1,300,6.3,175,-0.5,238,0.6,310,0,307
San Jose St.,MWC,2.5,303,-0.3,335,8.5,61,-0.2,293,0.8,278,100,258
Colgate,Pat,2.5,304,-1.3,290,4.8,250,0.4,336,0.9,266,1100,48
St. Francis PA,NEC,2.5,305,-0.9,310,2.4,331,-0.1,314,1.4,132,1900,31
UMBC,AE,2.5,306,-1.7,254,3,318,-1.4,83,0.4,321,200,232
Cal Poly,BW,2.5,307,-1.7,251,4.1,277,0.5,344,1.1,208,300,210
Army,Pat,2.4,308,-1.1,302,3.3,309,-0.8,179,1.2,180,400,185
Florida Atlantic,CUSA,2.4,309,-0.5,330,4.7,258,-0.8,172,1.6,101,0,307
Mount St. Mary's,NEC,2.4,310,-0.8,318,4.1,279,-0.4,258,1.3,153,500,166
Cal St. Northridge,BW,2.4,311,-1.2,296,1.4,344,0.2,326,2,32,900,68
Lehigh,Pat,2.4,312,-1.5,272,4,284,-0.1,307,0.8,287,300,210
Howard,MEAC,2.4,313,-0.6,328,5.8,201,-0.8,172,0.8,283,100,258
Radford,BSth,2.4,314,-1.9,225,0.7,350,0.6,345,0.9,254,1700,33
Liberty,ASun,2.4,315,-1.9,229,1.7,343,-0.7,193,0.3,339,900,68
Quinnipiac,MAAC,2.4,316,0.2,344,6.1,185,-0.3,273,1.7,76,400,185
Saint Peter's,MAAC,2.4,317,-1.9,235,3.5,300,-0.3,266,0.3,335,100,258
Monmouth,MAAC,2.4,318,-1,308,4.7,257,-0.6,214,0.8,278,0,307
Sacred Heart,NEC,2.4,319,-1.4,280,3.2,312,-0.4,255,0.8,270,300,210
Hofstra,CAA,2.4,320,-0.9,315,3.6,299,-1.5,67,0.7,299,100,258
St. Francis NY,NEC,2.4,321,-1.4,284,3.1,317,-0.3,266,1,241,100,258
Presbyterian,BSth,2.3,322,-0.8,319,3.9,287,-0.5,228,0.7,300,700,113
Lafayette,Pat,2.3,323,-0.9,312,3.8,291,-0.5,228,0.7,293,300,210
Coppin St.,MEAC,2.3,324,-1.1,305,2.7,327,-0.6,207,1,241,200,232
Penn,Ivy,2.3,325,-1.5,271,3.6,297,0.3,331,0.8,289,0,307
Wagner,NEC,2.2,326,-0.9,312,3.2,315,0.5,341,1.4,128,200,232
New Hampshire,AE,2.2,327,-1,306,2,338,0,317,1.5,113,100,258
UC Riverside,BW,2.2,328,-0.7,322,2.9,322,-0.2,284,0.7,296,1100,48
Longwood,BSth,2.2,329,-0.6,328,1.2,348,-1.3,96,1.3,159,400,185
Princeton,Ivy,2.2,330,-0.2,340,3.9,288,-0.4,249,1.4,140,100,258
Iona,MAAC,2.2,331,-0.7,320,2.8,323,-1.7,43,0.4,325,0,307
Niagara,MAAC,2.2,332,-0.2,340,4.5,263,-1.2,116,0.3,337,600,137
Loyola Marymount,WCC,2.2,333,-0.7,322,3.4,304,-0.3,266,0.8,270,100,258
Stetson,ASun,2.2,334,0.7,351,7.2,127,0.3,331,1.4,125,100,258
UMass Lowell,AE,2.1,335,-1.3,292,0.1,352,-0.8,178,0.7,295,100,258
Central Connecticut,NEC,2.1,336,-0.5,331,1.8,342,-0.5,223,1.1,204,100,258
LIU Brooklyn,NEC,2.1,337,-0.8,317,2.5,329,-0.2,286,0.5,314,0,307
Cal St. Fullerton,BW,2,338,-0.4,332,3.2,313,-0.1,303,0.4,325,200,232
Columbia,Ivy,2,339,0,343,5.2,226,0.6,348,0.6,301,100,258
Marist,MAAC,2,340,0.5,347,4.5,264,-0.4,255,0.8,273,100,258
Charleston Southern,BSth,2,341,0.6,350,7.2,122,-0.2,293,0,351,0,307
Dartmouth,Ivy,1.9,342,0.3,346,3.4,307,0.5,339,1.1,218,500,166
Rider,MAAC,1.9,343,-0.3,335,2.4,333,-0.6,219,0.3,331,100,258
Hartford,AE,1.9,344,-0.7,325,2.5,330,0.3,331,0.3,339,100,258
Boston University,Pat,1.9,345,-0.3,333,2.1,337,-0.4,255,0.4,327,0,307
Grambling St.,SWAC,1.9,346,0.7,351,3.2,313,-0.8,187,0.8,287,300,210
North Alabama,ASun,1.9,347,-0.2,338,1.2,347,-0.3,275,0.5,320,600,137
Cal Baptist,WAC,1.9,348,-0.2,339,1.4,346,-0.1,301,0.3,337,800,91
Cornell,Ivy,1.8,349,1.4,353,4.3,271,0.6,345,1.4,135,900,68
Fairleigh Dickinson,NEC,1.7,350,0.2,345,0.4,351,0.5,342,1.6,108,0,307
Navy,Pat,1.7,351,0.5,347,2.8,325,-0.6,219,0.1,350,0,307
Yale,Ivy,1.6,352,0.6,349,2.9,321,1.4,352,0.9,263,100,258
Canisius,MAAC,1.6,353,-0.2,342,1.1,349,0.6,349,-0.4,353,600,137
