Team,Conf,HCA,HCA_Rank,PF,PF_Rank,PTS,PTS_Rank,NST,NST_Rank,Blk,Blk_Rank,Elevation,Elevation_Rank
Colorado St.,MWC,3.7,55,-3,140,6.4,172,-1.8,28,0.8,273,5000,8
Marshall,CUSA,3.7,56,-4.3,32,8.7,53,-0.9,152,1.3,171,500,166
Washington,P12,3.7,57,-3.9,58,7.6,102,-0.3,278,2.9,1,100,258
Ohio,MAC,3.7,58,-4,48,5.6,206,-2.5,5,1.6,91,600,137
Cincinnati,Amer,3.7,59,-3.4,103,9.1,37,-1.9,22,1.4,150,800,91
Denver,Sum,3.7,60,-2.5,179,9,41,0.3,329,1.9,43,5300,6
Ohio St.,B10,3.7,61,-3.7,65,10,19,-0.8,165,1.2,183,700,113
Massachusetts,A10,3.7,62,-4.1,46,6.5,160,-2.7,3,1.2,190,200,232
Florida,SEC,3.6,63,-4.6,17,5.8,201,-1.6,53,1.5,117,200,232
UCF,Amer,3.6,64,-3.5,97,7.9,90,-1.8,31,2,32,100,258
Akron,MAC,3.6,65,-4.3,28,7.7,95,-0.7,193,1.1,208,1100,48
South Dakota St.,Sum,3.6,66,-3.2,123,10.8,10,-1.7,36,0.5,317,1600,36
Western Michigan,MAC,3.6,67,-3.9,58,7.9,89,-1.4,80,1.4,144,800,91
St. John's,BE,3.6,68,-3.2,113,8,82,-1.5,65,2.3,16,100,258
Rutgers,B10,3.6,69,-2.7,168,8,82,-2.8,2,2.1,23,0,307
Tennessee,SEC,3.6,70,-4.3,33,7,135,-1.1,135,1.1,204,900,68
Auburn,SEC,3.6,71,-3.6,73,7.3,117,-0.4,252,2.3,17,700,113
Buffalo,MAC,3.6,72,-3.5,87,8.2,70,-2.1,12,0.9,254,600,137
Oregon,P12,3.6,73,-2.8,163,10.8,10,-0.1,311,2.3,19,400,185
LSU,SEC,3.6,74,-4.7,14,5.2,226,-1.2,112,1.6,98,0,307
Creighton,BE,3.6,75,-3.8,61,6.7,150,-1.6,49,1.3,162,1000,58
Weber St.,BSky,3.5,76,-2.1,212,6.3,176,-0.8,168,2,40,4800,10
Minnesota,B10,3.5,77,-3.8,64,9.1,37,-0.4,264,1.2,190,800,91
Baylor,B12,3.5,78,-4.2,37,6.7,153,-1.4,76,1.1,218,400,185
California,P12,3.5,79,-3.5,96,7.2,127,-1.5,67,1.9,51,200,232
Rhode Island,A10,3.5,80,-3.5,90,5.1,236,-1.4,80,2.8,4,100,258
VCU,A10,3.5,81,-3.5,84,9.6,31,-0.8,183,1.2,195,200,232
Houston Baptist,Slnd,3.5,82,-3.3,109,8.5,61,-1.2,98,1.7,88,100,258
Indiana,B10,3.5,83,-3.9,58,8.1,75,-0.3,270,1.4,135,800,91
Florida St.,ACC,3.5,84,-4.2,37,9.8,23,0.1,324,0.8,278,100,258
NJIT,ASun,3.5,85,-2.4,192,9.9,22,-1.7,42,1.9,57,100,258
St. Bonaventure,A10,3.5,86,-4.1,44,4.7,258,-1.6,49,1.2,190,1400,37
North Carolina St.,ACC,3.5,87,-3,138,7.7,95,-0.9,150,2.3,17,400,185
TCU,B12,3.5,88,-3.6,82,7.6,101,-1.1,128,1.4,128,600,137
Tulsa,Amer,3.5,89,-3.4,105,8.9,45,-1.1,120,1,233,800,91
North Carolina,ACC,3.5,90,-4.1,44,6,188,-1.5,57,1.2,195,400,185
UNC Wilmington,CAA,3.5,91,-3.7,68,7.5,106,-0.7,198,1.9,54,0,307
Northern Iowa,MVC,3.5,92,-3.6,72,8.3,67,-1.6,47,0.5,314,900,68
UAB,CUSA,3.5,93,-2.9,151,8.8,46,-1,146,1.8,65,600,137
Stephen F. Austin,Slnd,3.5,94,-3,143,7.8,91,-2,18,1.6,108,300,210
Marquette,BE,3.5,95,-3.6,73,5.6,204,-1.3,91,1.9,54,600,137
George Washington,A10,3.5,96,-2.8,159,10.5,14,-1.3,92,1.1,214,100,258
Indiana St.,MVC,3.4,97,-4.2,41,9.3,35,-0.3,270,0.3,339,500,166
Western Kentucky,CUSA,3.4,98,-3.7,65,5.3,222,-1.9,26,1.5,119,500,166
Michigan St.,B10,3.4,99,-3.5,90,5.4,212,-1.4,72,1.8,69,800,91
Georgia Southern,SB,3.4,100,-3.6,73,6.9,141,-1.2,116,1.5,119,200,232
Virginia Tech,ACC,3.4,101,-2.2,208,7.2,120,-2.1,15,1.5,113,2200,27
UT Arlington,SB,3.4,102,-2.8,163,9.1,39,-0.5,223,1.9,58,600,137
Arkansas St.,SB,3.4,103,-3.2,113,6,187,-1.7,36,1.8,60,300,210
Coastal Carolina,SB,3.4,104,-3.5,94,8.7,51,-0.5,223,1.3,153,0,307
Southern Illinois,MVC,3.4,105,-4.3,30,7.1,129,-0.5,244,0.8,283,400,185
Duke,ACC,3.4,106,-2.9,153,8.7,55,-0.5,235,2,40,400,185
Michigan,B10,3.4,107,-3.3,109,7.5,106,-1.6,55,0.9,258,900,68
Wichita St.,Amer,3.4,108,-3.2,123,7.7,100,-1.1,125,1,241,1400,37
Fresno St.,MWC,3.4,109,-4.4,26,5.4,213,-0.4,249,1.4,132,300,210
Northern Arizona,BSky,3.4,110,-1.4,276,5.3,218,-0.9,152,1.1,218,6900,3
UCLA,P12,3.4,111,-3,137,10,19,-1,142,0.7,293,400,185
Seton Hall,BE,3.4,112,-3.6,78,5.6,204,-1.1,120,1.9,43,0,307
Georgetown,BE,3.4,113,-4.4,24,6.2,180,-0.6,207,1,233,0,307
Xavier,BE,3.4,114,-3.8,63,6.4,172,-1.4,72,0.9,259,600,137
Eastern Michigan,MAC,3.4,115,-3.1,128,7.3,115,-1.1,120,1.4,144,800,91
Savannah St.,MEAC,3.4,116,-3.3,107,5.6,206,-2,18,1.6,90,0,307
Tennessee Martin,OVC,3.4,117,-3.6,79,7.1,131,-0.8,169,1.3,162,400,185
Middle Tennessee,CUSA,3.4,118,-2.1,215,10,21,-1.2,102,1.6,108,600,137
Wright St.,Horz,3.4,119,-3.5,90,7.5,106,-1.3,92,0.6,306,900,68
Furman,SC,3.4,120,-2.2,199,8.4,65,-0.9,150,2,38,1000,58
Idaho St.,BSky,3.4,121,-2.5,173,5.3,223,0.1,322,1.4,128,4600,15
Seattle,WAC,3.3,122,-3.1,127,5.9,195,-2.4,8,1.2,189,300,210
Montana St.,BSky,3.3,123,-1.8,237,8.7,55,-0.1,311,1.1,214,4900,9
Arizona,P12,3.3,124,-3.2,113,7.3,113,0,317,1,241,2400,26
Penn St.,B10,3.3,125,-3.1,132,6.9,141,-0.8,172,1.4,144,1200,42
Louisville,ACC,3.3,126,-3.9,55,4.4,270,-1.9,24,1,233,400,185
Mercer,SC,3.3,127,-3.5,87,5.2,235,-1.2,98,1.6,103,500,166
Fordham,A10,3.3,128,-3.5,85,2.6,328,-2.6,4,1.9,42,100,258
USC Upstate,BSth,3.3,129,-4,49,4.8,254,-1,137,0.9,254,900,68
