Season,TeamName,Tempo,RankTempo,AdjTempo,RankAdjTempo,OE,RankOE,AdjOE,RankAdjOE,DE,RankDE,AdjDE,RankAdjDE,AdjEM,RankAdjEM,seed
2011,"Air Force",62.5159,322,61.2714,328,102.031,158,105.717,107,103.102,207,101.138,130,4.57898,117,NULL
2011,Akron,66.658,184,66.2222,147,103.175,132,103.29,161,97.6911,81,99.533,106,3.75741,125,15
2011,Alabama,65.6639,230,63.8506,260,100.679,193,103.651,148,89.9998,6,91.2692,13,12.3817,61,NULL
2011,"Alabama A&M",71.2373,27,70.1295,25,87.9417,335,86.2111,339,93.109,18,102.981,179,-16.7695,324,NULL
2011,"Alabama St.",66.1276,203,63.859,259,92.1392,317,92.3675,311,96.6248,59,105.437,238,-13.0699,302,16
2011,Albany,60.9852,340,60.3227,333,101.211,183,100.971,203,102.814,201,107.795,275,-6.82393,243,NULL
2011,"Alcorn St.",77.7361,1,76.097,1,84.4331,343,85.559,342,103.267,212,110.81,316,-25.251,341,NULL
2011,American,62.0895,328,60.7173,331,104.721,98,103.44,158,100.925,155,103.946,204,-0.505234,173,NULL
2011,"Appalachian St.",67.8474,121,66.4558,127,104.961,93,103.768,145,107.982,309,108.47,285,-4.70139,217,NULL
2011,Arizona,67.0341,171,65.5658,176,112.742,15,115.936,14,98.916,103,97.0522,67,18.8834,24,5
2011,"Arizona St.",64.5265,269,62.9875,296,98.412,232,103.482,156,103.499,219,100.457,122,3.0256,130,NULL
2011,Arkansas,68.084,110,66.396,133,102.036,157,105.369,112,97.3692,74,100.3,119,5.06969,111,NULL
2011,"Arkansas Little Rock",64.7645,263,64.4828,237,101.781,167,100.167,217,103.354,216,104.657,221,-4.48952,215,16
2011,"Arkansas Pine Bluff",68.4184,89,66.1804,149,86.3016,340,88.2123,334,103.278,214,110.434,310,-22.2218,338,NULL
2011,"Arkansas St.",65.1649,250,64.5389,236,100.97,189,100.277,214,101.059,160,102.945,176,-2.66803,193,NULL
2011,Army,68.3754,92,67.2642,86,99.4416,214,98.8434,240,105.27,265,109.164,299,-10.3202,276,NULL
2011,Auburn,65.4324,242,64.8293,227,93.2209,305,96.013,278,100.739,149,102.039,157,-6.02615,236,NULL
2011,"Austin Peay",68.1815,103,66.9041,102,102.581,144,102.194,178,97.0762,68,99.9312,113,2.26245,147,NULL
2011,"Ball St.",64.9475,256,64.0049,256,102.57,146,102.36,174,98.6024,100,102.61,170,-0.24985,168,NULL
2011,Baylor,67.1897,163,65.3086,193,103.49,122,106.531,96,96.1562,52,97.2359,68,9.29515,79,NULL
2011,Belmont,69.7082,43,68.7655,43,114.765,9,112.236,36,88.0346,2,93.268,29,18.9677,23,13
2011,"Bethune Cookman",62.2957,325,61.3427,327,100.831,191,99.1894,235,104.873,259,111.059,321,-11.8697,291,NULL
2011,Binghamton,61.5187,334,61.9969,320,96.163,274,96.9604,269,110.316,332,112.777,336,-15.8164,315,NULL
2011,"Boise St.",67.9068,118,67.4333,76,106.36,72,107.558,88,97.2179,70,98.1973,83,9.36041,78,NULL
2011,"Boston College",64.3191,279,63.0239,293,111.292,22,116.394,13,107.219,294,104.544,218,11.8497,67,NULL
2011,"Boston University",63.0458,314,63.0646,291,103.323,126,102.907,166,99.6121,117,103.292,186,-0.385171,170,16
2011,"Bowling Green",65.8165,224,64.5415,235,95.7177,281,96.8054,272,101.625,181,103.794,199,-6.98822,245,NULL
2011,Bradley,66.0982,206,66.1446,151,97.96,244,100.115,221,103.132,208,103.6,193,-3.48477,201,NULL
2011,Brown,69.1078,68,68.4193,51,101.923,161,102.188,179,106.453,285,108.553,288,-6.36482,237,NULL
2011,Bryant,67.1437,168,65.1317,204,98.2362,235,99.7982,226,112.766,339,113.56,339,-13.762,305,NULL
2011,Bucknell,66.3444,194,65.0026,217,106.365,71,105.356,114,95.4503,44,97.7759,79,7.57974,85,14
2011,Buffalo,67.2141,160,66.0653,153,105.143,90,104.545,127,96.3744,55,99.7813,111,4.76358,113,NULL
2011,Butler,65.4927,241,63.7754,265,109.473,41,112.272,34,97.9504,84,97.278,69,14.9935,44,8
2011,BYU,71.5867,24,70.3423,20,112.665,16,117.73,8,94.6423,34,94.2638,38,23.4657,11,3
2011,"Cal Poly",61.491,336,59.9981,336,96.9766,263,97.2646,265,96.1216,51,97.0296,66,0.234938,164,NULL
2011,"Cal St. Bakersfield",70.0399,41,67.7289,68,96.4529,271,96.5832,274,109.691,327,110.683,315,-14.1002,307,NULL
2011,"Cal St. Fullerton",68.7499,77,67.8951,61,103.167,133,104.216,134,109.933,328,112.382,330,-8.1658,256,NULL
2011,"Cal St. Northridge",69.2783,61,68.1058,56,99.0709,223,100.148,220,104.282,247,104.922,228,-4.77403,219,NULL
2011,California,68.6732,80,67.858,64,103.199,130,109.448,63,102.03,189,98.4542,87,10.9938,69,NULL
2011,Campbell,65.9998,216,64.4485,238,98.1346,241,96.9465,270,101.777,186,104.899,227,-7.95245,253,NULL
2011,Canisius,67.475,140,65.123,205,101.557,172,102.354,175,100.004,131,103.571,192,-1.21718,181,NULL
2011,Centenary,70.7312,34,69.1003,39,83.0406,344,83.1743,344,114.52,341,112.422,331,-29.2473,344,NULL
2011,"Central Arkansas",71.9169,20,70.0752,27,91.5486,321,89.8379,330,110.246,331,111.706,325,-21.8676,335,NULL
2011,"Central Connecticut",67.8878,119,66.4243,130,101.747,168,100.157,218,95.7321,46,99.3391,101,0.818341,157,NULL
2011,"Central Michigan",64.9031,259,63.5017,274,90.2398,324,91.0585,323,98.7337,102,101.208,131,-10.1496,274,NULL
2011,"Charleston Southern",67.401,147,66.2472,145,102.09,156,102.17,180,102.61,196,106.524,254,-4.35416,211,NULL
2011,Charlotte,65.5191,239,64.0794,251,97.5025,253,100.79,206,104.191,244,104.703,223,-3.91332,206,NULL
2011,Chattanooga,69.9945,42,68.4926,48,97.9212,245,98.242,250,107.254,296,107.907,276,-9.66535,270,NULL
2011,"Chicago St.",74.4821,7,70.5478,19,86.4257,338,88.9963,331,116.506,345,117.7,344,-28.7032,343,NULL
2011,Cincinnati,64.011,292,63.2667,283,106.907,61,109.822,58,92.4169,14,90.218,9,19.6039,19,6
2011,Clemson,65.5855,236,64.0185,255,103.467,124,107.856,84,92.0852,12,90.4152,10,17.4409,29,12
2011,"Cleveland St.",66.098,208,65.5366,178,107.05,57,109.428,64,97.3222,73,97.5616,75,11.8662,66,NULL
2011,"Coastal Carolina",67.6989,130,66.2508,144,107.348,55,104.832,124,95.0632,37,99.4205,104,5.41117,106,NULL
2011,Colgate,67.6415,133,66.3559,140,94.9022,290,96.5603,275,110.554,334,111.726,326,-15.1656,314,NULL
2011,"College of Charleston",67.4327,144,66.0496,154,113.049,13,112.969,30,101.698,183,103.172,183,9.79663,75,NULL
2011,Colorado,69.4355,55,67.3964,78,112.892,14,116.433,12,105.157,263,102.788,172,13.6455,52,NULL
2011,"Colorado St.",67.2251,159,66.3747,136,104.951,94,108.722,72,101.391,170,98.2715,84,10.4501,72,NULL
2011,Columbia,68.43,88,67.2073,90,102.52,148,100.671,208,103.508,220,105.011,232,-4.34012,210,NULL
2011,Connecticut,66.1988,202,65.3986,186,108.613,47,114.804,21,98.441,95,93.1006,27,21.703,15,3
2011,"Coppin St.",69.3824,56,68.5944,47,101.797,166,97.6737,263,103.928,235,107.257,266,-9.5838,268,NULL
2011,Cornell,66.1148,204,65.4961,181,102.577,145,104.44,130,105.627,272,106.751,258,-2.31023,192,NULL
2011,Creighton,62.8178,317,63.3367,281,105.902,78,106.539,95,100.822,150,101.914,152,4.6249,114,NULL
2011,Dartmouth,66.7392,179,65.6436,173,88.8158,331,90.1168,329,105.841,275,106.61,255,-16.4927,320,NULL
